"First names at birth by sex at birth, selected indicators (Number) 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0147-01"
"Release date: 2024-09-25"
"Geography: Canada"
""
""

"Geography, place of residence of mother","Canada",,,,,
"JEREMY","124","255","0.0821","..","..",".."
"JERI","..","..","..","..","..",".."
"JERIAH","13","1,505","0.0086","..","..",".."
"JERIC","..","..","..","..","..",".."
"JERICA","..","..","..","..","..",".."
"JERICHO","20","1,117","0.0132","..","..",".."
"JERICO","..","..","..","..","..",".."
"JERID","..","..","..","..","..",".."
"JERIEL","..","..","..","..","..",".."
"JERIKA","..","..","..","..","..",".."
"JERIMIAH","..","..","..","..","..",".."
"JERMAIN","..","..","..","..","..",".."
"JERMAINE","5","2,931","0.0033","..","..",".."
"JEROD","..","..","..","..","..",".."
"JEROME","36","711","0.0238","..","..",".."
"JEROMY","..","..","..","..","..",".."
"JERON","..","..","..","..","..",".."
"JERONIMO","5","2,931","0.0033","..","..",".."
"JERRED","..","..","..","..","..",".."
"JERRELL","..","..","..","..","..",".."
"JERRETT","..","..","..","..","..",".."
"JERRI","..","..","..","..","..",".."
"JERRICA","..","..","..","..","..",".."
"JERRICK","..","..","..","..","..",".."
"JERRID","..","..","..","..","..",".."
"JERRIKA","..","..","..","..","..",".."
"JERROD","..","..","..","..","..",".."
"JERRY","12","1,605","0.0079","..","..",".."
"JERSEY","..","..","..","9","2,160","0.0064"
"JERSIE","..","..","..","..","..",".."
"JERSON","..","..","..","..","..",".."
"JERUSHA","..","..","..","..","..",".."
"JERZEE","..","..","..","..","..",".."
"JERZEY","..","..","..","..","..",".."
"JERZIE","..","..","..","..","..",".."
"JERZY","..","..","..","..","..",".."
"JESHUA","..","..","..","..","..",".."
"JESIAH","5","2,931","0.0033","..","..",".."
"JESICA","..","..","..","..","..",".."
"JESIKA","..","..","..","..","..",".."
"JESLYN","..","..","..","..","..",".."
"JESPER","..","..","..","..","..",".."
"JESS","..","..","..","..","..",".."
"JESSA","..","..","..","9","2,160","0.0064"
"JESSABELLE","..","..","..","..","..",".."
"JESSALYN","..","..","..","..","..",".."
"JESSALYNN","..","..","..","..","..",".."
"JESSE","155","211","0.1026","..","..",".."
"JESSECA","..","..","..","..","..",".."
"JESSEE","..","..","..","..","..",".."
"JESSE-JAMES","..","..","..","..","..",".."
"JESSE-LEE","..","..","..","..","..",".."
"JESSELYN","..","..","..","..","..",".."
"JESSENIA","..","..","..","..","..",".."
"JESSEY","..","..","..","..","..",".."
"JESSI","..","..","..","..","..",".."
"JESSIAH","..","..","..","..","..",".."
"JESSICA","..","..","..","80","361","0.0572"
"JESSICA-LEE","..","..","..","..","..",".."
"JESSICA-LYNN","..","..","..","..","..",".."
"JESSIE","..","..","..","31","849","0.0222"
"JESSIE-LEE","..","..","..","..","..",".."
"JESSIKA","..","..","..","..","..",".."
"JESSLYN","..","..","..","7","2,557","0.0050"
"JESSY","15","1,355","0.0099","10","1,992","0.0072"
"JESSYCA","..","..","..","..","..",".."
"JESSYE","..","..","..","..","..",".."
"JESSY-JAMES","..","..","..","..","..",".."
"JESSYKA","..","..","..","..","..",".."
"JESTIN","..","..","..","..","..",".."
"JESUS","..","..","..","..","..",".."
"JET","11","1,696","0.0073","..","..",".."
"JETER","..","..","..","..","..",".."
"JETHRO","23","1,019","0.0152","..","..",".."
"JETSON","..","..","..","..","..",".."
"JETT","100","310","0.0662","..","..",".."
"JETTA","..","..","..","..","..",".."
"JETTSON","8","2,136","0.0053","..","..",".."
"JEVAN","..","..","..","..","..",".."
"JEVIN","..","..","..","..","..",".."
"JEVON","..","..","..","..","..",".."
"JEVONTE","..","..","..","..","..",".."
"JEWEL","..","..","..","6","2,824","0.0043"
"JEWELIA","..","..","..","..","..",".."
"JEWELL","..","..","..","..","..",".."
"JEWELLE","..","..","..","..","..",".."
"JEWELS","..","..","..","..","..",".."
"JEZABEL","..","..","..","..","..",".."
"JEZIAH","..","..","..","..","..",".."
"JHENE","..","..","..","..","..",".."
"JHETT","8","2,136","0.0053","..","..",".."
"JHON","..","..","..","..","..",".."
"JHONNY","..","..","..","..","..",".."
"JI","..","..","..","..","..",".."
"JIA","..","..","..","18","1,292","0.0129"
"JIAAN","..","..","..","..","..",".."
"JIACHENG","..","..","..","..","..",".."
"JIAHUI","..","..","..","..","..",".."
"JIAN","8","2,136","0.0053","..","..",".."
"JIANA","..","..","..","7","2,557","0.0050"
"JIANNA","..","..","..","13","1,645","0.0093"
"JIAQI","..","..","..","..","..",".."
"JIARUI","..","..","..","..","..",".."
"JIAXIN","..","..","..","..","..",".."
"JIAYI","..","..","..","5","3,197","0.0036"
"JIBRAN","5","2,931","0.0033","..","..",".."
"JIBREEL","13","1,505","0.0086","..","..",".."
"JIBRIEL","..","..","..","..","..",".."
"JIBRIL","15","1,355","0.0099","..","..",".."
"JIDENNA","16","1,299","0.0106","..","..",".."
"JIE","..","..","..","..","..",".."
"JIGAR","5","2,931","0.0033","..","..",".."
"JIHAD","..","..","..","..","..",".."
"JIHAN","..","..","..","..","..",".."
"JIHANE","..","..","..","..","..",".."
"JIHO","..","..","..","..","..",".."
"JILL","..","..","..","..","..",".."
"JILLIAN","..","..","..","27","944","0.0193"
"JILLIANE","..","..","..","..","..",".."
"JILLIANNE","..","..","..","..","..",".."
"JILLISA","..","..","..","..","..",".."
"JIM","6","2,614","0.0040","..","..",".."
"JIMENA","..","..","..","..","..",".."
"JIMI","..","..","..","..","..",".."
"JIMMY","29","837","0.0192","..","..",".."
"JIMY","..","..","..","..","..",".."
"JIN","11","1,696","0.0073","..","..",".."
"JINA","..","..","..","..","..",".."
"JINAN","..","..","..","..","..",".."
"JINANE","..","..","..","..","..",".."
"JIND","..","..","..","114","248","0.0816"
"JING","..","..","..","..","..",".."
"JINGYI","..","..","..","..","..",".."
"JINNY","..","..","..","..","..",".."
"JIRAIYA","11","1,696","0.0073","..","..",".."
"JIREH","19","1,158","0.0126","6","2,824","0.0043"
"JIREN","..","..","..","..","..",".."
"JIRO","..","..","..","..","..",".."
"JISHA","..","..","..","..","..",".."
"JIVAN","..","..","..","..","..",".."
"JIYA","..","..","..","21","1,136","0.0150"
"JIYAAN","6","2,614","0.0040","..","..",".."
"JIYAN","..","..","..","..","..",".."
"JIYANA","..","..","..","5","3,197","0.0036"
"JIYANSH","10","1,815","0.0066","..","..",".."
"JJ","..","..","..","..","..",".."
"J'LYN","..","..","..","..","..",".."
"J'LYNN","..","..","..","..","..",".."
"JO","..","..","..","..","..",".."
"JOACHIM","8","2,136","0.0053","..","..",".."
"JOAH","..","..","..","..","..",".."
"JOAKIM","7","2,348","0.0046","..","..",".."
"JOAN","..","..","..","16","1,398","0.0114"
"JOANA","..","..","..","5","3,197","0.0036"
"JOANASIE","..","..","..","..","..",".."
"JOANIE","..","..","..","8","2,326","0.0057"
"JOANN","..","..","..","..","..",".."
"JOANNA","..","..","..","68","421","0.0487"
"JOANNE","..","..","..","12","1,739","0.0086"
"JO-ANNE","..","..","..","..","..",".."
"JOANNIE","..","..","..","..","..",".."
"JO-ANNIE","..","..","..","..","..",".."
"JOANNY","..","..","..","..","..",".."
"JOANY","..","..","..","..","..",".."
"JOAO","..","..","..","..","..",".."
"JOAQUIM","12","1,605","0.0079","..","..",".."
"JOAQUIN","38","683","0.0252","..","..",".."
"JOASH","8","2,136","0.0053","..","..",".."
"JOB","..","..","..","..","..",".."
"JOBAN","7","2,348","0.0046","..","..",".."
"JOCELINE","..","..","..","..","..",".."
"JOCELYN","..","..","..","28","912","0.0200"
"JOCELYNE","..","..","..","..","..",".."
"JOCELYNN","..","..","..","..","..",".."
"JODH","..","..","..","..","..",".."
"JODI","..","..","..","5","3,197","0.0036"
"JODIE","..","..","..","..","..",".."
"JODY","7","2,348","0.0046","..","..",".."
"JOE","19","1,158","0.0126","..","..",".."
"JOEL","95","322","0.0629","..","..",".."
"JOELLA","..","..","..","9","2,160","0.0064"
"JOELLE","..","..","..","41","669","0.0293"
"JOELY","..","..","..","..","..",".."
"JOESEPH","..","..","..","..","..",".."
"JOESPH","..","..","..","..","..",".."
"JOEVE","..","..","..","..","..",".."
"JOEY","65","442","0.0430","24","1,025","0.0172"
"JOFFREY","..","..","..","..","..",".."
"JOHAN","31","796","0.0205","..","..",".."
"JOHANA","..","..","..","..","..",".."
"JOHANIE","..","..","..","..","..",".."
"JOHANN","16","1,299","0.0106","..","..",".."
"JOHANNA","..","..","..","35","772","0.0250"
"JOHANNAH","..","..","..","..","..",".."
"JOHANNE","..","..","..","..","..",".."
"JOHANNES","13","1,505","0.0086","..","..",".."
"JOHANNIE","..","..","..","..","..",".."
"JOHANNY","..","..","..","..","..",".."
"JOHANY","..","..","..","..","..",".."
"JOHN","367","73","0.2430","..","..",".."
"JOHNATAN","..","..","..","..","..",".."
"JOHNATHAN","26","911","0.0172","..","..",".."
"JOHNATHON","..","..","..","..","..",".."
"JOHN-MICHAEL","..","..","..","..","..",".."
"JOHNNY","44","607","0.0291","..","..",".."
"JOHN-PAUL","..","..","..","..","..",".."
"JOHNSON","9","1,963","0.0060","..","..",".."
"JOHNSTON","..","..","..","..","..",".."
"JOHNY","..","..","..","..","..",".."
"JOLAINE","..","..","..","..","..",".."
"JOLAN","..","..","..","..","..",".."
"JOLEE","..","..","..","..","..",".."
"JOLEEN","..","..","..","..","..",".."
"JOLEIGH","..","..","..","..","..",".."
"JOLENE","..","..","..","40","683","0.0286"
"JOLIANE","..","..","..","5","3,197","0.0036"
"JOLIANNE","..","..","..","..","..",".."
"JOLIE","..","..","..","20","1,190","0.0143"
"JOLINA","..","..","..","..","..",".."
"JOLINE","..","..","..","..","..",".."
"JOLISA","..","..","..","..","..",".."
"JOLYANE","..","..","..","..","..",".."
"JOLYANN","..","..","..","..","..",".."
"JOLY-ANN","..","..","..","..","..",".."
"JOLYANNE","..","..","..","..","..",".."
"JON","15","1,355","0.0099","..","..",".."
"JONA","5","2,931","0.0033","..","..",".."
"JONAH","200","159","0.1324","..","..",".."
"JONAS","41","648","0.0271","..","..",".."
"JONATAN","..","..","..","..","..",".."
"JONATHAN","191","169","0.1264","..","..",".."
"JONATHON","5","2,931","0.0033","..","..",".."
"JONELLE","..","..","..","..","..",".."
"JONG","..","..","..","..","..",".."
"JONI","..","..","..","20","1,190","0.0143"
"JONNY","..","..","..","..","..",".."
"JOOD","9","1,963","0.0060","5","3,197","0.0036"
"JOON","..","..","..","..","..",".."
"JORA","7","2,348","0.0046","..","..",".."
"JORAH","..","..","..","..","..",".."
"JORAN","..","..","..","..","..",".."
"JORANE","..","..","..","..","..",".."
"JORAVAR","5","2,931","0.0033","..","..",".."
"JORAWAR","49","554","0.0324","..","..",".."
"JORDAN","307","95","0.2032","44","638","0.0315"
"JORDANA","..","..","..","12","1,739","0.0086"
"JORDANE","..","..","..","13","1,645","0.0093"
"JORDANN","..","..","..","..","..",".."
"JORDANNA","..","..","..","..","..",".."
"JORDANNE","..","..","..","..","..",".."
"JORDANO","..","..","..","..","..",".."
"JORDEN","5","2,931","0.0033","..","..",".."
"JORDI","..","..","..","..","..",".."
"JORDIE","..","..","..","..","..",".."
"JORDIN","..","..","..","..","..",".."
"JORDIS","..","..","..","..","..",".."
"JORDON","6","2,614","0.0040","..","..",".."
"JORDY","10","1,815","0.0066","..","..",".."
"JORDYN","..","..","..","87","332","0.0622"
"JORDYNN","..","..","..","5","3,197","0.0036"
"JOREL","..","..","..","..","..",".."
"JOREN","..","..","..","..","..",".."
"JORGE","11","1,696","0.0073","..","..",".."
"JORGEN","..","..","..","..","..",".."
"JORGIA","..","..","..","..","..",".."
"JORI","..","..","..","..","..",".."
"JORIE","..","..","..","..","..",".."
"JORJA","..","..","..","11","1,860","0.0079"
"JORJIA","..","..","..","..","..",".."
"JORY","..","..","..","..","..",".."
"JOSAIAH","..","..","..","..","..",".."
"JOSCELYN","..","..","..","..","..",".."
"JOSE","35","725","0.0232","..","..",".."
"JOSEE","..","..","..","..","..",".."
"JOSEF","10","1,815","0.0066","..","..",".."
"JOSEFINA","..","..","..","..","..",".."
"JOSELINE","..","..","..","..","..",".."
"JOSELYN","..","..","..","..","..",".."
"JOSEPH","425","64","0.2814","..","..",".."
"JOSEPHINA","..","..","..","..","..",".."
"JOSEPHINE","..","..","..","214","117","0.1531"
"JOSETTE","..","..","..","..","..",".."
"JOSEY","..","..","..","..","..",".."
"JOSH","36","711","0.0238","..","..",".."
"JOSHAWA","..","..","..","..","..",".."
"JOSHUA","355","77","0.2350","..","..",".."
"JOSHUAH","..","..","..","..","..",".."
"JOSHWA","..","..","..","..","..",".."
"JOSIAH","172","189","0.1139","..","..",".."
"JOSIANE","..","..","..","..","..",".."
"JOSIANNE","..","..","..","..","..",".."
"JOSIAS","..","..","..","..","..",".."
"JOSIE","..","..","..","134","205","0.0959"
"JOSIP","..","..","..","..","..",".."
"JOSLIN","..","..","..","..","..",".."
"JOSLYN","..","..","..","..","..",".."
"JOSLYNN","..","..","..","..","..",".."
"JOSS","..","..","..","..","..",".."
"JOSSIE","..","..","..","..","..",".."
"JOSSLYN","..","..","..","..","..",".."
"JOSUA","..","..","..","..","..",".."
"JOSUE","16","1,299","0.0106","..","..",".."
"JOSY","..","..","..","..","..",".."
"JOSYANE","..","..","..","..","..",".."
"JOSYANNE","..","..","..","..","..",".."
"JOTHAM","5","2,931","0.0033","..","..",".."
"JOUD","20","1,117","0.0132","17","1,348","0.0122"
"JOUDI","..","..","..","..","..",".."
"JOUDIA","..","..","..","14","1,551","0.0100"
"JOUDY","..","..","..","..","..",".."
"JOUMANA","..","..","..","..","..",".."
"JOURDAN","..","..","..","..","..",".."
"JOURI","..","..","..","..","..",".."
"JOURNEE","..","..","..","10","1,992","0.0072"
"JOURNEY","6","2,614","0.0040","18","1,292","0.0129"
"JOURNIE","..","..","..","..","..",".."
"JOURY","..","..","..","14","1,551","0.0100"
"JOVAN","28","860","0.0185","..","..",".."
"JOVANA","..","..","..","..","..",".."
"JOVANI","5","2,931","0.0033","..","..",".."
"JOVANNA","..","..","..","..","..",".."
"JOVEN","..","..","..","..","..",".."
"JOVI","5","2,931","0.0033","10","1,992","0.0072"
"JOVIAN","..","..","..","..","..",".."
"JOVIE","..","..","..","32","830","0.0229"
"JOVIN","12","1,605","0.0079","..","..",".."
"JOY","..","..","..","50","566","0.0358"
"JOYA","..","..","..","..","..",".."
"JOYANNA","..","..","..","..","..",".."
"JOYCE","..","..","..","31","849","0.0222"
"JOYCELYN","..","..","..","..","..",".."
"JOZEF","5","2,931","0.0033","..","..",".."
"JOZIAH","6","2,614","0.0040","..","..",".."
"JOZIE","..","..","..","..","..",".."
"JR","..","..","..","..","..",".."
"JUAN","32","778","0.0212","..","..",".."
"JUANA","..","..","..","..","..",".."
"JUANASIE","..","..","..","..","..",".."
"JUANITA","..","..","..","..","..",".."
"JUBA","..","..","..","..","..",".."
"JUBILEE","..","..","..","8","2,326","0.0057"
"JUD","..","..","..","..","..",".."
"JUDAH","73","401","0.0483","..","..",".."
"JUDD","6","2,614","0.0040","..","..",".."
"JUDE","205","153","0.1357","7","2,557","0.0050"
"JUDI","..","..","..","..","..",".."
"JUDITH","..","..","..","22","1,092","0.0157"
"JUDSON","..","..","..","..","..",".."
"JUDY","..","..","..","29","889","0.0207"
"JUELZ","..","..","..","..","..",".."
"JUGAAD","5","2,931","0.0033","..","..",".."
"JUGRAJ","..","..","..","..","..",".."
"JUJHAR","52","527","0.0344","..","..",".."
"JULENE","..","..","..","..","..",".."
"JULES","359","75","0.2377","5","3,197","0.0036"
"JULIA","..","..","..","415","50","0.2969"
"JULIAN","287","107","0.1900","..","..",".."
"JULIANA","..","..","..","66","437","0.0472"
"JULIANE","..","..","..","6","2,824","0.0043"
"JULIANN","..","..","..","..","..",".."
"JULIANNA","..","..","..","49","580","0.0351"
"JULIANNE","..","..","..","27","944","0.0193"
"JULIANO","..","..","..","..","..",".."
"JULIA-ROSE","..","..","..","7","2,557","0.0050"
"JULIE","..","..","..","55","520","0.0394"
"JULIE-ANN","..","..","..","..","..",".."
"JULIE-ANNA","..","..","..","..","..",".."
"JULIEANNE","..","..","..","..","..",".."
"JULIE-ANNE","..","..","..","..","..",".."
"JULIEN","104","302","0.0688","..","..",".."
"JULIENNE","..","..","..","..","..",".."
"JULIE-PIER","..","..","..","..","..",".."
"JULIET","..","..","..","45","629","0.0322"
"JULIETA","..","..","..","16","1,398","0.0114"
"JULIETTA","..","..","..","..","..",".."
"JULIETTE","..","..","..","376","59","0.2690"
"JULIO","11","1,696","0.0073","..","..",".."
"JULISA","..","..","..","..","..",".."
"JULISSA","..","..","..","..","..",".."
"JULIUS","41","648","0.0271","..","..",".."
"JULLIAN","..","..","..","..","..",".."
"JULYA","..","..","..","..","..",".."
"JULYANN","..","..","..","..","..",".."
"JULYANNE","..","..","..","..","..",".."
"JUMANA","..","..","..","5","3,197","0.0036"
"JUN","6","2,614","0.0040","..","..",".."
"JUNA","..","..","..","6","2,824","0.0043"
"JUNAID","8","2,136","0.0053","..","..",".."
"JUNE","..","..","..","144","187","0.1030"
"JUNIA","..","..","..","7","2,557","0.0050"
"JUNIOR","10","1,815","0.0066","..","..",".."
"JUNIPER","..","..","..","150","173","0.1073"
"JUNO","10","1,815","0.0066","18","1,292","0.0129"
"JUPITER","..","..","..","9","2,160","0.0064"
"JURGEN","..","..","..","..","..",".."
"JURNEE","..","..","..","..","..",".."
"JUSTEN","..","..","..","..","..",".."
"JUSTICE","14","1,430","0.0093","5","3,197","0.0036"
"JUSTIN","146","221","0.0967","..","..",".."
"JUSTINA","..","..","..","10","1,992","0.0072"
"JUSTINE","..","..","..","66","437","0.0472"
"JUSTIS","..","..","..","..","..",".."
"JUSTON","..","..","..","..","..",".."
"JUSTUS","7","2,348","0.0046","..","..",".."
"JUSTYCE","..","..","..","..","..",".."
"JUSTYN","..","..","..","..","..",".."
"JUSTYNA","..","..","..","..","..",".."
"JUSTYNE","..","..","..","..","..",".."
"JUVRAJ","..","..","..","..","..",".."
"JUWAN","..","..","..","..","..",".."
"JYOTI","..","..","..","..","..",".."
"KA","..","..","..","..","..",".."
"KAAN","10","1,815","0.0066","..","..",".."
"KAAVYA","..","..","..","6","2,824","0.0043"
"KABEER","7","2,348","0.0046","..","..",".."
"KABEL","..","..","..","..","..",".."
"KABIEL","13","1,505","0.0086","..","..",".."
"KABIR","168","193","0.1112","..","..",".."
"KACE","8","2,136","0.0053","..","..",".."
"KACEN","..","..","..","..","..",".."
"KACEY","33","760","0.0218","30","865","0.0215"
"KACHE","..","..","..","..","..",".."
"KACI","..","..","..","5","3,197","0.0036"
"KACIE","..","..","..","12","1,739","0.0086"
"KACPER","..","..","..","..","..",".."
"KACY","..","..","..","..","..",".."
"KADAN","..","..","..","..","..",".."
"KADANCE","..","..","..","..","..",".."
"KADE","83","362","0.0549","..","..",".."
"KADEEM","..","..","..","..","..",".."
"KADEN","83","362","0.0549","..","..",".."
"KADENCE","..","..","..","9","2,160","0.0064"
"KADESHA","..","..","..","..","..",".."
"KADI","..","..","..","..","..",".."
"KADIATOU","..","..","..","11","1,860","0.0079"
"KADIE","..","..","..","..","..",".."
"KADIJA","..","..","..","..","..",".."
"KADIJAH","..","..","..","..","..",".."
"KADIN","..","..","..","..","..",".."
"KADISHA","..","..","..","..","..",".."
"KADY","..","..","..","..","..",".."
"KADYN","..","..","..","..","..",".."
"KADYNCE","..","..","..","..","..",".."
"KAEDAN","..","..","..","..","..",".."
"KAEDE","..","..","..","..","..",".."
"KAEDEN","15","1,355","0.0099","..","..",".."
"KAEDENCE","..","..","..","..","..",".."
"KAEDIN","..","..","..","..","..",".."
"KAEDON","..","..","..","..","..",".."
"KAEDYN","..","..","..","..","..",".."
"KAEGAN","..","..","..","..","..",".."
"KAEL","16","1,299","0.0106","..","..",".."
"KAELA","..","..","..","7","2,557","0.0050"
"KAELAN","..","..","..","..","..",".."
"KAELEB","..","..","..","..","..",".."
"KAELEE","..","..","..","..","..",".."
